Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.9307,0.0,0.9307,0,0.9307,5.525,6.29,0,0.0,6.29,1,1,0.847,1.0,-,[51.  3.  0. 12.  6.  1.  0.  0.  1.  0.  1. 82. 40.],[51.  3.  0. 12.  6.  1.  0.  0.  0.  0.  1. 82. 40.]
2,sat,2,0,0,0,0,0.9208,0.0,0.9208,0,0.9208,26.598,27.36,0,0.0,27.36,1,1,0.847,1.0,-,[62.  6.  1. 11.  0.  6.  5.  0.  1.  1.  0. 70. 16.],[62.  6.  1. 11.  0.  6.  5.  0.  0.  1.  0. 70. 16.]
3,sat,3,0,0,1,1,0.8614,0.0,0.8614,0.0198,0.8812,100.089,101.67,97.291,97.37,199.04,1,1,0.847,1.0,-,[20.  5.  0.  1.  1.  9.  5.  4.  0.  0. 19. 53. 40.],[20.  5.  0.  1.  1.  9.  5.  4.  1.  0. 19. 53. 40.]
4,unsat,3,1,0,0,0,0.9208,0.0,0.9208,0,0.9208,38.14,38.63,0,0.0,38.63,0,0,0.847,1.0,-,,
5,unsat,3,2,0,0,0,0.901,0.0,0.901,0,0.901,38.777,39.8,0,0.0,39.8,0,0,0.847,1.0,-,,
6,unknown,3,2,1,1,0,0.8218,0.0,0.8218,0.0198,0.8416,100.048,101.16,100.048,100.15,201.31,0,0,0.847,1.0,-,,
7,unknown,3,2,2,1,0,0.8119,0.0,0.8119,0.0396,0.8515,100.251,101.66,100.04,100.14,201.8,0,0,0.847,1.0,-,,
8,unknown,3,2,3,1,0,0.7921,0.0,0.7921,0.0396,0.8317,100.218,101.89,100.049,100.16,202.05,0,0,0.847,1.0,-,,
9,unknown,3,2,4,1,0,0.8317,0.0,0.8317,0.0297,0.8614,100.042,101.22,100.067,100.16,201.38,0,0,0.847,1.0,-,,
10,unsat,3,3,4,1,1,0.8416,0.0,0.8416,0.0396,0.8812,100.155,101.77,80.695,80.78,182.55,0,0,0.847,1.0,-,,
11,unsat,3,4,4,0,0,0.8911,0.0,0.8911,0,0.8911,98.44,99.24,0,0.0,99.24,0,0,0.847,1.0,-,,
12,unknown,3,4,5,1,0,0.8317,0.0,0.8317,0.0198,0.8515,100.089,100.87,100.069,100.17,201.04,0,0,0.847,1.0,-,,
13,sat,4,4,5,0,0,0.9307,0.0,0.9307,0,0.9307,17.837,18.32,0,0.0,18.32,1,1,0.847,1.0,-,[84.  0. 15. 14.  0. 10.  2.  4.  0.  1.  0. 41. 39.],[84.  0. 15. 14.  0. 10.  2.  4.  1.  1.  0. 41. 39.]
14,sat,5,4,5,0,0,0.8812,0.0,0.8812,0,0.8812,98.456,99.49,0,0.0,99.49,1,1,0.847,1.0,-,[60.  3. 11. 15.  5. 10.  1.  4.  0.  0. 19.  1. 29.],[60.  3. 11. 15.  5. 10.  1.  4.  1.  0. 19.  1. 29.]
15,sat,6,4,5,0,0,0.9505,0.0,0.9505,0,0.9505,1.306,1.78,0,0.0,1.78,1,1,0.847,1.0,-,[100.   0.  14.   8.   0.   2.   1.   0.   1.   0.  16. 100.  40.],[100.   0.  14.   8.   0.   2.   1.   0.   0.   0.  16. 100.  40.]
16,unknown,6,4,6,1,0,0.6238,0.0,0.6238,0.099,0.7228,100.081,103.39,100.052,100.23,203.61,0,0,0.847,1.0,-,,
1,unknown,0,0,1,1,0,0.7822,0.0,0.7822,0.0297,0.8119,100.034,101.05,100.016,100.12,201.17,0,0,0.847,1.0,-,,
2,unsat,0,1,1,0,0,0.9109,0.0,0.9109,0,0.9109,14.547,15.32,0,0.0,15.32,0,0,0.847,1.0,-,,
3,unknown,0,1,2,1,0,0.7723,0.0,0.7723,0.0099,0.7822,100.042,100.86,100.023,100.15,201.01,0,0,0.847,1.0,-,,
4,unknown,0,1,3,1,0,0.802,0.0,0.802,0.0693,0.8713,100.165,102.12,100.034,100.11,202.22,0,0,0.847,1.0,-,,
5,unsat,0,2,3,0,0,0.9307,0.0,0.9307,0,0.9307,8.085,8.58,0,0.0,8.58,0,0,0.847,1.0,-,,
6,sat,1,2,3,0,0,0.9208,0.0,0.9208,0,0.9208,9.988,10.93,0,0.0,10.93,1,1,0.847,1.0,-,[96.  5.  0.  1.  0.  9.  0.  4.  1.  1. 11. 90. 10.],[96.  5.  0.  1.  0.  9.  0.  4.  0.  1. 11. 90. 10.]
7,sat,2,2,3,1,1,0.8713,0.0,0.8713,0.0297,0.901,100.031,101.48,66.946,67.01,168.49,1,1,0.847,1.0,-,[70.  3.  2. 12.  0.  0.  0.  3.  1.  0. 19. 31.  5.],[70.  3.  2. 12.  0.  0.  0.  3.  0.  0. 19. 31.  5.]
8,unknown,2,2,4,1,0,0.8614,0.0,0.8614,0.0198,0.8812,100.023,100.77,100.057,100.13,200.9,0,0,0.847,1.0,-,,
9,unknown,2,2,5,1,0,0.6931,0.0,0.6931,0.0693,0.7624,100.271,102.97,100.156,100.29,203.26,0,0,0.847,1.0,-,,
10,unknown,2,2,6,1,0,0.7822,0.0,0.7822,0.0792,0.8614,100.087,102.23,100.06,100.14,202.37,0,0,0.847,1.0,-,,
11,unsat,2,3,6,0,0,0.9505,0.0,0.9505,0,0.9505,1.336,1.81,0,0.0,1.81,0,0,0.847,1.0,-,,
12,unsat,2,4,6,0,0,0.8911,0.0,0.8911,0,0.8911,54.084,55.04,0,0.0,55.04,0,0,0.847,1.0,-,,
13,unknown,2,4,7,1,0,0.8119,0.0,0.8119,0.0495,0.8614,100.041,101.8,100.057,100.14,201.93,0,0,0.847,1.0,-,,
14,sat,3,4,7,0,0,0.9307,0.0,0.9307,0,0.9307,4.014,4.48,0,0.0,4.48,1,1,0.847,1.0,-,[89.  0.  9. 10.  0. 10.  5.  2.  0.  1.  0. 61. 40.],[89.  0.  9. 10.  0. 10.  5.  2.  1.  1.  0. 61. 40.]
15,sat,4,4,7,0,0,0.9406,0.0,0.9406,0,0.9406,6.485,6.73,0,0.0,6.73,1,1,0.847,1.0,-,[100.   0.  14.  16.   0.  13.   2.   4.   1.   1.   0.  41.  32.],[100.   0.  14.  16.   0.  13.   2.   4.   0.   1.   0.  41.  32.]
16,unknown,4,4,8,1,0,0.7822,0.0,0.7822,0.0891,0.8713,100.02,102.67,100.101,100.18,202.85,0,0,0.847,1.0,-,,
